Country Name,Deuda 60s,Deuda 70s,Deuda 80s,Deuda 90s,Deuda 2000s,Deuda 2010-hoy
Albania,,,,45.48,,73.803
Armenia,,,,,,56.715
Australia,,,,18.875999999999998,23.728,46.92363636363636
Austria,,,,64.21,69.775,90.20454545454545
Azerbaijan,,,,,5.4399999999999995,6.39
"Bahamas, The",,,,28.286,24.178,49.56545454545454
Bahrain,,,,17.825,28.616,
Bangladesh,,,,,31.506666666666668,
Barbados,,,,,70.208,121.03285714285714
Belarus,,,,22.845,11.26625,31.789
Belgium,,,,123.628,98.407,104.94818181818182
Belize,,,,33.894285714285715,85.97500000000001,78.33200000000001
Bhutan,,,,39.082,66.205,90.28363636363636
Bolivia,,,,52.39,64.225,
Bosnia and Herzegovina,,,,,,47.43571428571428
Botswana,,,,11.805714285714286,9.612499999999999,18.125454545454545
Brazil,,,,,,72.78181818181818
Bulgaria,,,,61.605,38.452,27.549999999999997
Burkina Faso,,,,,,54.913333333333334
Burundi,,,,127.61444444444444,,
Cameroon,,,,71.105,,
Canada,,,,73.72800000000001,49.245000000000005,53.519090909090906
Caribbean small states,,,,,47.965,
Chile,,,,14.026,13.15,
Colombia,,,,12.235,51.125,67.02636363636364
"Congo, Dem. Rep.",,,,179.29749999999999,,
"Congo, Rep.",,,,,60.23,25.48
Costa Rica,,,,35.1475,38.92,
Cote d'Ivoire,,,,171.07,,
Croatia,,,,28.48,52.657,91.52636363636364
Cyprus,,,,94.166,,
Czechia,,,,14.969999999999999,,
Denmark,,,,70.5675,,
Dominican Republic,,,,18.316666666666666,,
Early-demographic dividend,,,,43.63,,
"Egypt, Arab Rep.",,,,,85.79,
El Salvador,,,,26.42,50.14,55.99909090909091
Estonia,,,,7.375,5.007,13.43
Ethiopia,,,,69.712,,26.95714285714286
Europe & Central Asia (excluding high income),,,,100.41,20.195,22.408181818181816
Europe & Central Asia (IDA & IBRD countries),,,,95.94,21.015,24.736363636363635
Fiji,,,,35.92,,
Finland,,,,34.296,,
France,,,,60.765,63.5,97.62545454545455
Georgia,,,,54.208,37.828,36.84090909090909
Germany,,,,20.93,,
Greece,,,,108.91666666666667,126.505,186.5781818181818
Guatemala,,,,14.357999999999999,20.871,25.43
High income,,,,47.826,66.991,106.80545454545455
Hungary,,,,75.05888888888889,65.874,91.88909090909091
Iceland,,,,46.889,80.90100000000001,119.95727272727272
India,,,,49.707,59.33,49.525555555555556
Indonesia,,,,43.042,31.542499999999997,30.47
"Iran, Islamic Rep.",,,,0,,
Iraq,,,,,,30.0425
Ireland,,,,54.575,36.807,94.96727272727273
Israel,,,,98.702,,
Italy,,,,74.44,,
Jamaica,,,,110.248,119.98,122.473
Japan,,,,59.943,124.774,190.11818181818182
Jordan,,,,116.618,78.439,72.096
Kazakhstan,,,,,,15.674545454545452
"Korea, Rep.",,,,8.47625,,37.876666666666665
Kyrgyz Republic,,,,,,58.93833333333333
Lebanon,,,,110.83666666666666,,
Liberia,,,,,,21.025
Lithuania,,,,29.35,25.628999999999998,45.480909090909094
Lower middle income,,,,50.69,,
Luxembourg,,,,2.5,,
Malawi,,,,,29.27,38.935
Malaysia,,,,60.269999999999996,43.4025,52.556363636363635
Maldives,,,,40.891,33.248,
Malta,,,,58.634,,
Marshall Islands,,,,,70.82499999999999,50.924
Mauritius,,,,34.237,37.061,47.335
Mexico,,,,28.254999999999995,19.07,
"Micronesia, Fed. Sts.",,,,,26.025,25.823636363636364
Moldova,,,,57.314,42.875,24.757272727272728
Mongolia,,,,51.269999999999996,73.75999999999999,66.91666666666667
Morocco,,,,68.86888888888889,51.998333333333335,53.295
Mozambique,,,,,,87.346
Myanmar,,,,,0,
Namibia,,,,,39.633333333333326,3.9977777777777783
Nepal,,,,63.108999999999995,55.30444444444444,34.89666666666667
Netherlands,,,,55.4,,
New Zealand,,,,,39.63,42.14818181818182
North America,,,39.13,45.650999999999996,55.407,97.18727272727273
Norway,,,,24.618000000000002,,
OECD members,,,,46.656,66.685,105.18181818181819
Pakistan,,,,77.476,66.75,
Palau,,,,,23.92,51.463
Papua New Guinea,,,,53.989,65.24666666666667,35.29714285714286
Peru,,,,94.744,28.3875,23.612727272727273
Philippines,,,,50.296,60.620999999999995,47.748
Poland,,,,60.45,,
Portugal,,,,6.955,,
Post-demographic dividend,,,,47.791,67.408,107.14909090909092
Romania,,,,29.745,23.069,44.17181818181818
Russian Federation,,,,122.345,25.17375,13.38090909090909
Rwanda,,,,48.696666666666665,,
San Marino,,,,,37.4025,57.871818181818185
Seychelles,,,,,138.685,68.68666666666667
Singapore,,,,76.922,95.235,111.58090909090909
Slovak Republic,,,,42.25,43.086,62.02818181818182
Solomon Islands,,,,,,9.307
South Africa,,,,40.709,39.64,
South Asia,,,,52.703,59.766,50.04666666666667
South Asia (IDA & IBRD),,,,52.703,59.766,50.04666666666667
Spain,,1884.95,,51.161,43.957,93.86909090909091
Sri Lanka,,,,93.949,95.6211111111111,71.86833333333334
St. Kitts and Nevis,,,,,91.20875,85.854
St. Lucia,,,,,44.865,45.72
St. Vincent and the Grenadines,,,,39.704,49.842,
Sudan,,,,8.265,,
Sweden,,,,64.43125,55.416000000000004,44.373636363636365
Switzerland,,,,20.135,26.091,20.03818181818182
Tajikistan,,,,,96.94,
Thailand,,,0,10.018,25.012,36.617000000000004
Tonga,,,,,,49.277499999999996
Trinidad and Tobago,,,,,16.365000000000002,
Tunisia,,,,56.896,51.096000000000004,41.25666666666667
Turkiye,,,,35.83,44.68,34.66818181818182
Uganda,,,,,,39.11333333333333
Ukraine,,,,60.98,26.98333333333333,50.89636363636364
United Arab Emirates,,,,,,1.89
United Kingdom,,,,60.337999999999994,92.588,151.48727272727274
United States,,,39.13,44.357,55.980999999999995,101.26545454545455
Uruguay,,,,25.240000000000002,70.79,47.53
Vanuatu,,,,24.831666666666667,,
Zambia,,,,182.23555555555555,,45.540000000000006
