Zona;PortoBase
Zona III - Arousa;Ribeira
Zona III - Arousa;Carreira-Aguiño
Zona IV - Muros;Noia
Zona IV - Muros;Portosín
Zona III - Arousa;A Illa de Arousa
Zona IV - Muros;Muros
Zona III - Arousa;Cabo de Cruz - Boiro
Zona III - Arousa;Corrubedo
Zona III - Arousa;Palmeira
Zona III - Arousa;Rianxo
Zona VII - Coruña-Ferrol;Barallobre
Zona IX - Mariña lucense;San Cibrao
Zona VII - Coruña-Ferrol;Ferrol
Zona III - Arousa;A Pobra do Caramiñal
Zona III - Arousa;Vilaxoán
Zona III - Arousa;Vilanova
Zona II - Pontevedra;Combarro
Zona III - Arousa;Carril
Zona III - Arousa;O Grove
Zona IV - Muros;Porto do Son
Zona V - Fisterra;Fisterra
Zona I - Vigo;Cangas
Zona II - Pontevedra;Bueu
Zona III - Arousa;Cambados
Zona VI - Costa da Morte;Corme
Zona VII - Coruña-Ferrol;Sada
Zona VIII - Cedeira;Cariño
Zona VIII - Cedeira;Espasante
Zona I - Vigo;Vigo
Zona I - Vigo;Meira
Zona V - Fisterra;Lira-Carnota
Zona I - Vigo;A Guarda
Zona VII - Coruña-Ferrol;Ares
Zona VII - Coruña-Ferrol;Lorbé
Zona VII - Coruña-Ferrol;A Coruña
Zona VI - Costa da Morte;Laxe
Zona V - Fisterra;Corcubión
Zona VII - Coruña-Ferrol;Pontedeume
Zona VI - Costa da Morte;Malpica de Bergantiños
Zona VII - Coruña-Ferrol;Mera-Oleiros
Zona VI - Costa da Morte;Caión
Zona VII - Coruña-Ferrol;Miño
Zona VI - Costa da Morte;Camariñas
Zona VI - Costa da Morte;Camelle
Zona IX - Mariña lucense;Celeiro
Zona I - Vigo;Domaio (Pontevedra)
Zona III - Arousa;Vilagarcía
Zona VI - Costa da Morte;Muxía
Zona VII - Coruña-Ferrol;Mugardos
Zona I - Vigo;Moaña
Zona VIII - Cedeira;Cedeira
Zona IX - Mariña lucense;Burela
Zona IX - Mariña lucense;O Barqueiro-Bares
Zona I - Vigo;Santa Cristina de Cobres
Zona I - Vigo;Baiona
Zona II - Pontevedra;Portonovo
Zona IX - Mariña lucense;Foz
Zona IX - Mariña lucense;O Vicedo
Zona I - Vigo;Arcade
Zona I - Vigo;Redondela
Zona II - Pontevedra;Sanxenxo
Zona II - Pontevedra;Aldán-Hio
Zona II - Pontevedra;Marín
Zona I - Vigo;Panxón
Zona II - Pontevedra;Campelo
Zona II - Pontevedra;Pontevedra
Zona I - Vigo;San Adrián
Zona II - Pontevedra;Raxó
Zona IX - Mariña lucense;Ribadeo
Zona III - Arousa;Pontecesures
Zona I - Vigo;Vigo (Canido)
Zona V - Fisterra;O Pindo
