Indonesia;156557
Bangladesh;29117
Venezuela;5686
Brunei Darussalam;164
Kiribati;13
Cameroon;1915
Luxembourg;1277
Sweden;19049
Uganda;3570
Montenegro;2681
Jordan;13626
Dominican Republic;4354
Ireland;6290
Cambodia;3048
United States Of America;991649
Singapore;1381
Papua New Guinea;657
Sri Lanka;16252
San Marino;109
Laos;677
American Samoa;31
Uzbekistan;1613
Bosnia And Herzegovina;15519
Portugal;23664
Finland;4714
Malta;726
Colombia;139320
Albania;3443
Ukraine;105566
Saudi Arabia;9299
Grenada;231
Cayman Islands;25
Cuba;8520
Latvia;6461
Kyrgyzstan;2972
Algeria;6801
France;162775
Cape Verde;401
Slovakia;20112
Maldives;296
Israel;10870
Djibouti;189
Syria;3090
Sao Tome And Principe;73
Nauru;0
Senegal;1963
Malaysia;35315
Kenya;5610
Ghana;1394
Zambia;3925
Iceland;114
Madagascar;1309
Kuwait;2553
Africa (total);251517
Wallis And Futuna;7
Sierra Leone;123
Liberia;294
Philippines;59630
Tuvalu;0
Benin;163
Cyprus;1223
Guinea;441
Turkey;96585
Nigeria;3090
Rwanda;1448
Zimbabwe;5276
Tajikistan;125
Guam;367
Bonaire, Saint Eustatius And Saba;35
Comoros;155
China;14616
Saint Lucia;362
New Caledonia;312
Belarus;6753
Armenia;8545
Qatar;673
Netherlands;22336
Lesotho;693
Paraguay;18900
Gabon;300
Turks And Caicos Islands;35
Australia;8837
Dominica;66
Serbia;15742
Mauritius;960
EU/EEA (total);1110902
Saint Kitts And Nevis;43
British Virgin Islands;63
Angola;1866
Libya;6310
Vanuatu;14
Micronesia (Federated States Of);0
Bahrain;1488
Spain;107272
Congo;381
United Arab Emirates;2287
Georgia;16009
Malawi;2582
Belgium;31301
Antigua And Barbuda;139
Monaco;55
Guernsey;46
Burundi;15
Taiwan;4171
Bhutan;21
Solomon Islands;149
Montserrat;8
Thailand;30019
Togo;268
Burkina Faso;362
Faroe Islands;26
El Salvador;4118
Italy;168738
Uruguay;7269
Oman;4256
Timor Leste;131
Eswatini;1361
Fiji;860
United Kingdom;178132
Cote Divoire;787
United Republic Of Tanzania;837
Isle Of Man;107
Palau;6
Holy See;0
Germany;139910
Eritrea;97
Canada;41240
South Korea;23434
Saint Vincent And The Grenadines;102
Anguilla;8
Barbados;462
Sint Maarten;86
Democratic Republic Of The Congo;1246
Bermuda;134
Namibia;3976
Marshall Islands;0
Argentina;128679
Cook Islands;1
Liechtenstein;82
Slovenia;7805
Azerbaijan;9539
Greece;30028
Egypt;24284
Bahamas;812
Afghanistan;7684
Puerto Rico;4410
India;520432
Chad;190
Iran;140753
French Polynesia;649
Chile;57821
Gambia;364
Estonia;2460
Vietnam;39628
Suriname;1350
South Africa;100659
Oceania (total);13233
Peru;212815
Kazakhstan;18889
Central African Republic;113
Kosovo;3137
Japan;30867
Europe (total);1959381
Denmark;5864
Jamaica;3056
Mongolia;2100
Iraq;25111
Mauritania;963
Mozambique;2139
Switzerland;12878
Seychelles;167
Northern Mariana Islands;25
New Zealand;1265
Guinea Bissau;171
Ecuador;35563
Hungary;45379
Russia;366945
America (total);2733254
Norway;3210
Honduras;10898
Belize;664
Botswana;2690
Asia (total);1292728
Pakistan;30326
Romania;65696
Brazil;667379
Austria;16245
Guatemala;18260
Bolivia;21814
Ethiopia;7424
Trinidad And Tobago;3639
Falkland Islands (Malvinas);0
Niger;308
Panama;8264
Yemen;2141
South Sudan;135
Western Sahara;1
Lithuania;9194
Bulgaria;37196
Croatia;16019
Tunisia;28535
Sudan;4907
Aruba;218
Mali;706
North Macedonia;9156
Morocco;16036
Moldova;10741
Myanmar;19380
Nicaragua;223
Mexico;323566
Tonga;12
Nepal;11929
Guyana;1215
Curaçao;273
United States Virgin Islands;114
Palestine;5580
Poland;116744
Lebanon;10227
Greenland;20
Costa Rica;8512
Jersey;127
Haiti;834
Gibraltar;102
Samoa;28
Equatorial Guinea;183
Czechia;40241
Somalia;1361
Andorra;150
