Country Name,Gasto 60s,Gasto 70s,Gasto 80s,Gasto 90s,Gasto 2000s,Gasto 2010-hoy
Afghanistan,,,,,34.964999999999996,44.93875
Africa Eastern and Southern,,,,21.55,23.81,24.543
Albania,,,,25.645,23.506666666666664,23.804000000000002
Angola,,,,19.65,22.259,21.924
Arab World,,,,,,23.595
Argentina,,,,14.004999999999999,18.044,24.301428571428573
Armenia,,,,,19.05,23.400909090909092
Australia,,21.42,24.691,23.917,25.384,26.73090909090909
Austria,,30.3425,35.579,42.51,46.1,45.99090909090909
Azerbaijan,,,,20.64,20.795,23.02
"Bahamas, The",,,,15.463000000000001,11.552,17.973636363636363
Bahrain,,,27.822,25.251,21.718,
Bangladesh,,,,,8.401111111111112,8.743636363636364
Barbados,,,,,28.845714285714287,34.30428571428572
Belarus,,,,29.32125,29.741,28.406363636363636
Belgium,,,,44.888,42.148,42.84090909090909
Belize,,,,18.836,22.591,25.215
Bhutan,,,18.582857142857144,20.227,20.227,20.564545454545456
Bolivia,,,12.22,18.205,25.09,
Bosnia and Herzegovina,,,,,36.066,37.14818181818182
Botswana,,,,29.472857142857144,33.1125,29.826363636363638
Brazil,,,,,,34.07454545454546
Bulgaria,,,,43.968,31.94,33.06727272727273
Burkina Faso,,,,,10.65125,14.414545454545454
Burundi,,,13.67,24.15375,,
Cabo Verde,,,,,26.582,26.68125
Cambodia,,,,,8.845,13.142727272727273
Cameroon,,,,11.70625,,12.11
Canada,,,,23.054000000000002,17.849,18.617272727272727
Caribbean small states,,,,,23.81888888888889,27.462222222222223
Central African Republic,,,,,12.176666666666666,10.729
Central Europe and the Baltics,,,,39.27333333333333,37.068,36.60181818181818
Chile,,26.84,24.701,16.578,18.67,21.69818181818182
Colombia,,,,20.72,23.4625,28.972727272727273
"Congo, Dem. Rep.",,11.56625,12.37,,,
"Congo, Rep.",,,,,20.37666666666667,14.857272727272727
Costa Rica,,17.31714285714286,21.419,21.141,22.735,27.475454545454546
Cote d'Ivoire,,,,,10.026666666666667,12.182
Croatia,,,,,39.85,41.276363636363634
Cyprus,,25.134,26.921,50.881,58.068,40.2
Czechia,,,,36.01285714285714,34.577,34.25818181818182
Denmark,,30.21875,37.296,39.197,36.685,39.875454545454545
Dominican Republic,,11.248571428571429,10.718,8.301,13.105,15.953636363636363
Early-demographic dividend,,,,16.41777777777778,21.46,21.11888888888889
Ecuador,,,,,,26.814999999999998
"Egypt, Arab Rep.",,42.67,36.16444444444444,28.5175,28.919999999999998,30.348333333333336
El Salvador,,,,13.115,20.732,24.757272727272728
Equatorial Guinea,,,,,4.0375,8.788181818181817
Estonia,,,,35.906,32.068,36.02818181818182
Ethiopia,,,,13.32,13.42,10.177272727272728
Euro area,,27.405,33.69,39.106,37.993,39.29272727272728
Europe & Central Asia,,28.435714285714287,32.855,36.022,35.211,36.58181818181818
Europe & Central Asia (excluding high income),,,,21.526666666666667,29.445,28.64636363636364
Europe & Central Asia (IDA & IBRD countries),,,,24.3425,27.21,29.87727272727273
European Union,,28.080000000000002,33.971000000000004,39.05,37.644,38.767272727272726
Fiji,,,,25.71857142857143,25.44666666666667,25.491818181818182
Finland,,23.75625,27.258,39.195,34.417,39.02090909090909
France,,32.81375,39.825,44.092,45.125,48.192727272727275
Gabon,,,,,,15.63125
"Gambia, The",,,,17.16,,
Georgia,,,,17.172,21.304,26.23090909090909
Germany,,23.21875,25.714,31.678,30.22,28.955454545454543
Ghana,,,,,19.895555555555557,19.605454545454545
Greece,,18.475,30.762999999999998,42.41166666666666,44.064,52.04181818181818
Guatemala,,,,8.724,12.818,12.901818181818182
Guinea,,,11.13,10.746666666666666,,
Guinea-Bissau,,,,,,13.64
Heavily indebted poor countries (HIPC),,,,,,15.496666666666666
High income,,21.83875,25.389,26.943,26.407,28.57090909090909
Honduras,,11.882,,,21.187142857142856,23.252857142857142
Hungary,,,,48.272222222222226,42.57,43.36909090909091
Iceland,,24.1275,26.051,29.812,34.26,34.55090909090909
IDA only,,,,,,13.902857142857144
India,,10.593333333333334,13.724,14.783,15.742,15.586666666666668
Indonesia,,12.3875,12.982,11.911,16.528,15.041818181818183
"Iran, Islamic Rep.",,27.36625,20.236,15.329,17.932,
Iraq,,,,,,26.226666666666667
Ireland,,33.17,43.142,35.134,31.972,33.76181818181818
Israel,,,,40.744,41.665,36.914545454545454
Italy,,30.574285714285715,43.488,45.131,40.016,43.70909090909091
Jamaica,,,24.35,22.204,29.570999999999998,26.921818181818182
Japan,,13.4025,15.855,15.82,15.762,17.79
Jordan,,,,27.28,30.602,26.901818181818182
Kazakhstan,,,,16.523333333333333,13.588000000000001,16.026363636363637
Kenya,,,,,,20.948571428571427
Kiribati,,,,,,72.52
"Korea, Rep.",,13.68,13.879,13.564,17.364,23.751818181818184
Kuwait,,21.383333333333333,31.821,70.07888888888888,36.84,
Kyrgyz Republic,,,,,,26.056666666666665
Latin America & Caribbean,,,,,,27.46
Latin America & Caribbean (excluding high income),,,,,,27.792727272727273
Latin America & the Caribbean (IDA & IBRD countries),,,,,,27.475454545454546
Latvia,,,,46.903999999999996,41.724000000000004,45.74363636363636
Least developed countries: UN classification,,,,,,14.98625
Lebanon,,,,27.119999999999997,29.465,25.746363636363636
Lesotho,,,36.85333333333333,32.20888888888889,37.803,40.051818181818184
Lithuania,,,,38.775999999999996,33.732,32.71363636363636
Lower middle income,,,,15.96,17.791999999999998,16.952222222222222
Luxembourg,,28.0375,32.695,34.383,36.426,38.447272727272725
"Macao SAR, China",,,,14.885,13.491,16.303636363636365
Madagascar,,,,,9.554285714285715,9.694545454545455
Malawi,,,,,22.83,17.169090909090908
Malaysia,,,,17.7675,18.422,18.35181818181818
Maldives,,,,18.506,23.887,
Mali,,,,,12.292,12.731818181818182
Malta,,32.94428571428571,28.257,78.886,82.83,37.663636363636364
Marshall Islands,,,,,60.1,56.70181818181818
Mauritius,,23.905,22.725,19.16,19.69,22.30909090909091
Mexico,,12.085,20.1,12.475999999999999,18.783333333333335,21.314545454545456
"Micronesia, Fed. Sts.",,,,,17.439999999999998,19.707272727272727
Middle East & North Africa (excluding high income),,,,,24.476,
Middle East & North Africa (IDA & IBRD countries),,,,,23.89,
Moldova,,,,33.56,29.456666666666667,28.093636363636364
Mongolia,,,,15.51625,23.6525,25.32
Morocco,,,,20.017777777777777,25.45375,26.76818181818182
Mozambique,,,,,,20.53
Myanmar,,,,,3.57,14.72625
Namibia,,,,29.653333333333332,26.318,35.13363636363636
Nauru,,,,,,91.83714285714285
Nepal,,,,,14.6,16.07181818181818
Netherlands,,40.424285714285716,48.277,43.504,37.613,40.15
New Zealand,,29.86875,37.34111111111111,,31.601111111111113,33.02272727272727
Nicaragua,,,,20.699000000000005,13.958,15.871818181818183
Niger,,9.37,10.16,,,
North America,,18.802500000000002,21.593,20.733,20.658,23.736363636363638
North Macedonia,,,,,29.928,29.345454545454547
Norway,,30.46625,33.675,37.316,33.903999999999996,37.53727272727273
OECD members,,21.4625,25.03,26.382,26.345,28.681818181818183
Pacific island small states,,,,,,30.627
Pakistan,,,,19.323333333333334,15.5,
Palau,,,,,51.125,47.49090909090909
Panama,,,,,,14.074
Papua New Guinea,,,,27.820999999999998,26.353333333333335,19.228571428571428
Paraguay,,,,,11.902,15.158181818181818
Peru,,13.4525,16.433,16.785,17.896,20.013636363636365
Philippines,,,,14.2225,15.293,14.184545454545454
Poland,,,,40.708333333333336,37.823,35.414545454545454
Portugal,,25.447499999999998,30.465,35.89,39.885999999999996,43.07636363636364
Post-demographic dividend,,21.74375,25.223,26.669,26.11,28.611818181818183
Romania,,,36.56888888888889,30.869,31.963,33.593636363636364
Russian Federation,,,,20.985,22.718,28.395454545454545
Rwanda,,,,13.370000000000001,,18.71857142857143
Samoa,,,,,,29.15111111111111
San Marino,,,,,32.1775,44.07909090909091
Saudi Arabia,,,,,,28.28181818181818
Senegal,,,,,,19.0625
Serbia,,,,,35.38,38.95363636363636
Seychelles,,,45.158,47.84142857142857,31.78,29.42888888888889
Singapore,,14.99,18.879,14.92,14.697000000000001,14.790909090909091
Slovak Republic,,,,46.744,40.361000000000004,39.67454545454545
Slovenia,,,,,40.4475,43.086363636363636
Solomon Islands,,,,,,29.149
Somalia,,,,,,0
South Africa,,17.485,22.759,26.312,25.663,33.053636363636365
South Asia,,10.593333333333334,13.728,15.256,15.472,15.292222222222223
South Asia (IDA & IBRD),,10.593333333333334,13.728,15.256,15.472,15.292222222222223
Spain,,18.26625,27.459000000000003,31.92,,34.495
Sri Lanka,,,,23.801000000000002,21.247,16.58818181818182
St. Kitts and Nevis,,,,17.445999999999998,22.895,24.594444444444445
St. Lucia,,,,,15.933,18.263749999999998
St. Vincent and the Grenadines,,,,,20.849999999999998,24.405
Sudan,,,,7.18,15.67,11.526666666666667
Sweden,,27.04625,36.417,39.26,32.927,32.60090909090909
Switzerland,,,16.738,17.273,17.514,16.94272727272727
Tajikistan,,,,10.684999999999999,10.84,
Tanzania,,,,,15.35,14.559999999999999
Thailand,,12.45125,15.349,12.874,16.216,18.935454545454547
Timor-Leste,,,,,,66.604
Togo,,,,,14.780000000000001,15.026
Trinidad and Tobago,,,,,25.51,32.05222222222222
Tunisia,,24.00375,29.847,27.535,26.004,31.133333333333333
Turkiye,,15.1675,15.836666666666666,21.53666666666667,32.955,31.428181818181816
Uganda,,,,,,12.06
Ukraine,,,,25.17,31.982,36.94
United Arab Emirates,,,,6.266666666666667,,4.247
United Kingdom,,33.44125,34.908,35.502,37.745,40.06363636363636
United States,,18.802500000000002,21.593,20.516000000000002,20.921,24.213636363636365
Uruguay,,21.20875,23.733,26.311,27.085,31.876363636363635
Uzbekistan,,,,,,15.673
Vanuatu,,,,20.143333333333334,20.98,25.28
West Bank and Gaza,,,,,9.642,9.258888888888889
World,,,,24.638571428571428,25.258,27.60181818181818
Zambia,,,,17.82,15.678888888888888,19.804545454545455
Zimbabwe,,,,,9.47,21.652857142857144
